Drug_Name,Reason,Description
Arive 20mg Tablet 10'SArive 10mg Tablet 10'SArive 25mg Tablet 10'S,Psychosis,Â used to treat Parkinson's disease or involuntary movements
Arpizol 2mg Tablet 10'S,Psychosis,"Â depression and major depressive episodes in major depressive disorder: You may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep"
Arzol 15Mg Tablet 10'sArzol 2.5Mg Tablet 10's,Psychosis,Â used at the start of and for the long-term treatment and control of schizophrenia
Asprito 20mg Tablet 10'SAsprito 5mg Tablet 10'SAsprito 2mg Tablet 10'S,Psychosis,Â can be used at the start of and for the long-term treatment and control of schizophrenia
Asprito MT 10mg Tablet 10'S,Psychosis,treat symptoms of schizophrenia in adults aged 18 years or over
Atlura 80mg Tablet 10'SAtlura 40mg Tablet 10'S,Psychosis,Â used to treat the symptoms of Parkinsonâ€™s disease
Atypride 200mg Tablet 10'S,Psychosis,prevents lactation (production of milk) by decreasing levels of a hormone known as prolactin
Azona 40mg Capsule 10'SAzona 80mg Capsule 10'S,Psychosis,Â used to treat Parkinson's disease or involuntary movements
Blonitas 2mg Tablet 10'SBlonitas 8mg Tablet 10'SBlonitas 4mg Tablet 10'S,Psychosis,"Â depression and major depressive episodes in major depressive disorder: You may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep"
Cenride 200mg Tablet 10'SCenride 100mg Tablet 10'S,Psychosis,Â used at the start of and for the long-term treatment and control of schizophrenia
Chlorpromazine (Nicholas) 10mg Tablet 12'S,Psychosis,Â can be used at the start of and for the long-term treatment and control of schizophrenia
CIPIN 100mg Tablet 10'sCIPIN 50mg Tablet 10'sCIPIN 200mg Tablet 10'sCIPIN 25mg Tablet 10's,Psychosis,treat symptoms of schizophrenia in adults aged 18 years or over
Cizorest 50mg Tablet 10'SCizorest 100mg Tablet 10'SCizorest 200mg Tablet 10'S,Psychosis,Â used to treat the symptoms of Parkinsonâ€™s disease
Clopixol 200mg Injection(Depot) 1ml,Psychosis,prevents lactation (production of milk) by decreasing levels of a hormone known as prolactin
Combidol 10mg Tablet 10'S,Psychosis,Â used to treat Parkinson's disease or involuntary movements
Cozapine 100mg Tablet 10'SCozapine 50mg Tablet 10'S,Psychosis,"Â depression and major depressive episodes in major depressive disorder: You may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep"
CPZ 100mg Tablet 10'SCPZ 10mg Tablet 10'SCPZ 50mg Tablet 10'SCPZ 200mg Tablet 10'S,Psychosis,Â used at the start of and for the long-term treatment and control of schizophrenia
DELNIL 25mg Tablet 10'sDELNIL 50mg Tablet 10'sDELNIL 10mg Tablet 10's,Psychosis,Â can be used at the start of and for the long-term treatment and control of schizophrenia
Dilpra OD 750mg Tablet 10'S,Psychosis,treat symptoms of schizophrenia in adults aged 18 years or over
Diresta OD 250mg Tablet 10'S,Psychosis,Â used to treat the symptoms of Parkinsonâ€™s disease
Divalprid 250mg Tablet 10'S,Psychosis,"used to treat anxious, confused, guilty, tense or depressed"
Divalprid OD 750mg Tablet 10'S,Psychosis,"Â depression and major depressive episodes in major depressive disorder: You may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep"
Divalrate Er 1000Mg Tablet 10's,Psychosis,Â used at the start of and for the long-term treatment and control of schizophrenia
Divaltec Er 500Mg Tablet 10'sDivaltec Er 250Mg Tablet 10's,Psychosis,Â can be used at the start of and for the long-term treatment and control of schizophrenia
Donep SR 23mg Tablet 10'S,Psychosis,treat symptoms of schizophrenia in adults aged 18 years or over
Elicia 8mg Tablet 10'SElicia 4mg Tablet 10'SElicia 2mg Tablet 10'S,Psychosis,Â used to treat the symptoms of Parkinsonâ€™s disease
Emidoxyn 5mg Tablet 10'S,Psychosis,prevents lactation (production of milk) by decreasing levels of a hormone known as prolactin
Emikind 5mg Tablet 10'SEmikind MD Tablet 10'SEmikind Tablet 10'S,Psychosis,Â used to treat Parkinson's disease or involuntary movements
ENTIX 0.5mg Tablet 10's,Psychosis,"Â depression and major depressive episodes in major depressive disorder: You may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep"
Eridon Plus Tablet 10's,Psychosis,Â used at the start of and for the long-term treatment and control of schizophrenia
Espazine 1mg Tablet 10'S,Psychosis,Â can be used at the start of and for the long-term treatment and control of schizophrenia
ETORES TR Tablet 10's,Psychosis,treat symptoms of schizophrenia in adults aged 18 years or over
EZAPIN 50mg Tablet 10'sEZAPIN 25mg Tablet 10's,Psychosis,Â used to treat the symptoms of Parkinsonâ€™s disease
F TENSIL 25mg Injection 1's,Psychosis,"used to treat anxious, confused, guilty, tense or depressed"
Fluanxol 3mg Tablet 10'SFluanxol 40mg Injection(Depot) 2mlFluanxol 1mg Tablet 10'SFluanxol 0.5mg Tablet 10'SFluanxol 20mg Injection(Depot) 1ml,Psychosis,"Â depression and major depressive episodes in major depressive disorder: You may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep"
Flupen 1mg Tablet 10'S,Psychosis,Â used at the start of and for the long-term treatment and control of schizophrenia
Flupez 25Mg Injection 1ml,Psychosis,Â can be used at the start of and for the long-term treatment and control of schizophrenia
Flurilept Tablet 4'S,Psychosis,treat symptoms of schizophrenia in adults aged 18 years or over
Fostera 10mg Tablet 10'SFostera 5mg Tablet 10'S,Psychosis,Â used to treat the symptoms of Parkinsonâ€™s disease
Frisium 5mg Tablet 10'S,Psychosis,prevents lactation (production of milk) by decreasing levels of a hormone known as prolactin
Fritolev XR 500mg Tablet 10'S,Psychosis,Â used to treat Parkinson's disease or involuntary movements
Gardenal 60mg Tablet 30'S,Psychosis,"Â depression and major depressive episodes in major depressive disorder: You may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep"
Gressami 100mg Tablet 10'SGressami 200mg Tablet 10'SGressami 50mg Tablet 10'S,Psychosis,Â used at the start of and for the long-term treatment and control of schizophrenia
Haldol 10mg Tablet 10'SHaldol 0.25mg Tablet 10'SHaldol 5mg Tablet 10'S,Psychosis,Â can be used at the start of and for the long-term treatment and control of schizophrenia
Halidol 1.5mg Tablet 10'S,Psychosis,treat symptoms of schizophrenia in adults aged 18 years or over
Trazine SC Tablet 10'S,Psychosis,used for the management of schizophrenic patients who fail to respond adequately to treatment with other antipsychotic medicines
Trinicalm Plus Tablet 10'STrinicalm 5mg Tablet 10'STrinicalm Forte Tablet 10'S,Psychosis,Â used to treat Parkinson's disease or involuntary movements
Trinorm 5/2mg Tablet 8'STrinorm 1.5/2mg Tablet 8'STrinorm 10/2mg Tablet 8'S,Psychosis,"Â depression and major depressive episodes in major depressive disorder: You may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep"
Typidol 5mg Tablet 10'STypidol 1.5mg Tablet 10'S,Psychosis,Â used at the start of and for the long-term treatment and control of schizophrenia
Unisidon 40mg Tablet 10'SUnisidon 80mg Tablet 10'S,Psychosis,Â can be used at the start of and for the long-term treatment and control of schizophrenia
Wincalm Plus Tablet 10'S,Psychosis,treat symptoms of schizophrenia in adults aged 18 years or over
Zaporil 200mg Tablet 10'S,Psychosis,Â used to treat the symptoms of Parkinsonâ€™s disease
Zipra 40mg Capsule 10'SZipra 20mg Capsule 10'S,Psychosis,"used to treat anxious, confused, guilty, tense or depressed"
Zipsydon 80mg Capsule 10'SZipsydon 40mg Capsule 10'SZipsydon 60mg Capsule 10Zipsydon 20mg Capsule 10'S,Psychosis,used for the management of schizophrenic patients who fail to respond adequately to treatment with other antipsychotic medicines
Zisper 5mg Tablet 10'SZisper 3mg Tablet 10'SZisper 4mg Tablet 10'S,Psychosis,used for the management of schizophrenic patients who fail to respond adequately to treatment with other antipsychotic medicines
Zonapride 200mg Tablet 10'SZonapride 50mg Tablet 10'SZonapride 100mg Tablet 10'S,Psychosis,Â used to treat Parkinson's disease or involuntary movements
Zotipax 100mg Tablet 10'SZotipax 50mg Tablet 10'SZotipax 25mg Tablet 10'S,Psychosis,"Â depression and major depressive episodes in major depressive disorder: You may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep"
Zulpride 100mg Tablet 10'SZulpride 50mg Tablet 10'SZulpride 200mg Tablet 10'S,Psychosis,Â used at the start of and for the long-term treatment and control of schizophrenia
Zypine 5mg Tablet 10'S,Psychosis,Â can be used at the start of and for the long-term treatment and control of schizophrenia
Aceclomac Plus Suspension 60ml,Pyrexia,treats prexia
Acemiz Plus Suspension 60ml,Pyrexia,treats prexia
Aceto 650mg Tablet 10'SACETO 100mg Drops 15mlAceto 150mg Drops 15mlAceto 125mg Syrup 30ml,Pyrexia,treats prexia
Acezon Tablet 10'S,Pyrexia,treats prexia
Acton OR Tablet 10'S,Pyrexia,treats prexia
Algina 650mg Tablet 10'SAlgina 250mg Syrup 60mlAlgina 125mg Syrup 60ml,Pyrexia,treats prexia
Anetol 1gm Infusion 100ml,Pyrexia,treats prexia
Anglocet Plus Tablet 10'S,Pyrexia,treats prexia
Arden 250Mg Suspension 60mlARDEN 125mg Suspension 60mlArden 325Mg Tablet 15'sARDEN 1000mg Tablet 10'sArden 250Mg Tablet 15'sARDEN 125mg Tablet 10'sArden 650Mg Tablet 15's,Pyrexia,treats prexia
Babygesic 250mg Oral Suspension 60mlBabygesic 125mg Suspension 60mlBabygesic Drops 15ml,Pyrexia,treats prexia
Biopyrin 250mg Suspension 60ml,Pyrexia,treats prexia
BRURIFF 400mg Tablet 10's,Pyrexia,treats prexia
Calpol 250mg Suspension 60mlCalpol 650mg Tablet 15'SCalpol 500mg Tablet 1000'SCalpol 250mg Tablet 15'SCalpol 500mg Tablet 15'SCalpol 120mg Suspension 60ml,Pyrexia,treats prexia
Calpol Paediatric Drops 15ml,Pyrexia,treats prexia
Centamol 250mg Suspension 60mlCentamol 125mg Syrup 60mlCentamol 650mg Tablet 10'S,Pyrexia,treats prexia
Centamol Plus Suspension 60ml,Pyrexia,treats prexia
Cetafen Syrup 60ml,Pyrexia,treats prexia
Chilmol 250mg Suspension 60ml,Pyrexia,treats prexia
Coldmine Drops 15ml,Pyrexia,treats prexia
Crocin Advance 500mg Tablet 15'SCrocin Drops 15ml,Pyrexia,treats prexia
Crocin Suspension 60ml,Pyrexia,treats prexia
Crocin DS 240mg Suspension 60ml,Pyrexia,treats prexia
Cropara 650mg Tablet 10'SCropara 250mg Suspension 60ml,Pyrexia,treats prexia
Doliprane Suspension 60mlDoliprane 500mg Tablet 10'SDoliprane Infusion 100mlDoliprane 650mg Tablet 10'S,Pyrexia,treats prexia
Doliza Tablet 10'SDoliza ER 650mg Tablet 10'S,Pyrexia,treats prexia
Dolo 120mg Suspension 60mlDolo 500mg Tablet 15'SDolo Infusion 100mlDolo 250mg Suspension 60mlDolo 1000mg Tablet 10'SDolo Drops 15mlDolo 650mg Tablet 15'SDolo 156.25mg Suspension 60ml,Pyrexia,treats prexia
Dolo Forte 500mg Tablet 10'S,Pyrexia,treats prexia
Dolodart DS Suspension 60ml,Pyrexia,treats prexia
Dolomol 500mg Tablet 10'SDolomol 125mg Syrup 60ml,Pyrexia,treats prexia
Dolopar 650mg Tablet 15'SDolopar 250mg Syrup 60mlDolopar 650mg Tablet 10'SDolopar Drops 15ml,Pyrexia,treats prexia
Doloquik 250mg Syrup 60ml,Pyrexia,treats prexia
Febrex 500mg Tablet 15'SFebrex 500mg Tablet 10'SFebrex 250mg Suspension 60mlFebrex 650mg Tablet 10'SFebrex 125mg Suspension 60ml,Pyrexia,treats prexia
Febrinil 125mg Suspension 60ml,Pyrexia,treats prexia
Felok Suspension 60ml,Pyrexia,treats prexia
Fenace 100mg Infusion 100mlFenace 650mg Tablet 10'SFenace 650mg Tablet 15'S,Pyrexia,treats prexia
Fepamol 500mg Tablet 10'SFepamol 650mg Tablet 10'S,Pyrexia,treats prexia
Fepanil 100mg Oral Drops 15mlFepanil 650mg Tablet 10'SFepanil 120mg Oral Suspension 60mlFepanil 250mg Suspension 60mlFepanil 125mg Suspension 60mlFepanil 500mg Tablet 10'SFepanil 650mg Tablet 15'SFepanil 500mg Tablet 15'S,Pyrexia,treats prexia
Fevago Suspension 60ml,Pyrexia,treats prexia
Fevago DS Suspension 60ml,Pyrexia,treats prexia
Fevridol 1000mg Infusion 100mlFevridol 120mg Syrup 60ml,Pyrexia,treats prexia
Finamac Syrup 100ml,Pyrexia,treats prexia
Flucol 650mg Tablet 10'SFlucol Drops 15ml,Pyrexia,treats prexia
Flumol Drops 15ml,Pyrexia,treats prexia
Gempar 1K Tablet 10'S,Pyrexia,treats prexia
Hospimol UB 1000mg Injection 100ml,Pyrexia,treats prexia
Ibibull 250mg Suspension 60ml,Pyrexia,treats prexia
Ibibull IV Infusion 100ml,Pyrexia,treats prexia
Instaflex P Tablet 12'S,Pyrexia,treats prexia
K Par Suspension 60mlK Par 650mg Tablet 10'S,Pyrexia,treats prexia
Lanidol Injection 2ml,Pyrexia,treats prexia
Lanol Drops 15ml,Pyrexia,treats prexia
Lanol ER 650mg Tablet 10'S,Pyrexia,treats prexia
Leemol Drops 15ml,Pyrexia,treats prexia
Leemol Plus 250mg Syrup 60ml,Pyrexia,treats prexia
Lotemp Suspension 60mlLotemp Drops 15ml,Pyrexia,treats prexia
Lupicin 500mg Tablet 10'S,Pyrexia,treats prexia
Lupicip 125mg Syrup 60ml,Pyrexia,treats prexia
Lupiflam P Tablet 10'S,Pyrexia,treats prexia
Lupipara Forte Syrup 60mlLupipara Forte 125mg Syrup 60ml,Pyrexia,treats prexia
Lupirtin P Tablet 10'S,Pyrexia,treats prexia
Lupisulide P 325mg Tablet 10'S,Pyrexia,treats prexia
Macfast 250mg Suspension 60mlMacfast 500mg Tablet 10'SMacfast 650mg Tablet 10'SMacfast 125mg Suspension 60ml,Pyrexia,treats prexia
Magadol Syrup 60ml,Pyrexia,treats prexia
Malidens 500mg Tablet 10'SMalidens Suspension 60mlMalidens Infusion 100mlMalidens 650mg Tablet 10'S,Pyrexia,treats prexia
Malidens DS Suspension 60ml,Pyrexia,treats prexia
Medomol 300mg Tablet 10'SMedomol 500mg Tablet 10'SMEDOMOL 650mg Tablet 15'sMedomol Suspension 60mlMedomol 650mg Tablet 10'SMedomol 500mg Tablet 15'SMedomol Drops 15ml,Pyrexia,treats prexia
Medomol DS Suspension 60ml,Pyrexia,treats prexia
Metacin Injection 2mlMetacin Syrup 60mlMetacin Drops 15mlMetacin Suspension 100mlMetacin 250mg Suppository 5'SMetacin 500mg Tablet 15'S,Pyrexia,treats prexia
Metaplus 650mg Tablet 10'S,Pyrexia,treats prexia
MOL 150mg Injection 2ml,Pyrexia,treats prexia
Neomol 50mg Injection 2mlNeomol 250mg Suppository 5'S,Pyrexia,treats prexia
Neomol Ivg 1000mg Infusion 100ml,Pyrexia,treats prexia
Nicetamol 125mg Suspension 60mlNicetamol 250mg Suspension 60ml,Pyrexia,treats prexia
Nimegesic PR Suspension 60ml,Pyrexia,treats prexia
Nohype 250mg Suspension 60ml,Pyrexia,treats prexia
NU 650mg Tablet 15'S,Pyrexia,treats prexia
Opara 1gm Tablet 10'S,Pyrexia,treats prexia
Opimol 650Mg Tablet 10's,Pyrexia,treats prexia
P 500mg Tablet 15'SP 250mg Suspension 60mlP 500mg Suspension 60mlP 125mg Drops 15ml,Pyrexia,treats prexia
P & F 650mg Tablet 10'S,Pyrexia,treats prexia
P 120 Suspension 60ml,Pyrexia,treats prexia
P 650 Tablet 10'S,Pyrexia,treats prexia
P DT 750mg Tablet 10'S,Pyrexia,treats prexia
P Stat 125Mg Suspension 60ml,Pyrexia,treats prexia
P U C 500mg Tablet 10'SP U C 250mg Suspension 60ml,Pyrexia,treats prexia
PA 100mg Drops 15ml,Pyrexia,treats prexia
Pacimol Suspension 60mlPacimol 500mg Tablet 15'SPacimol 1gm Tablet 6'SPacimol Drops 15mlPacimol MF Suspension 60mlPacimol 650mg Tablet 15'SPacimol XP Tablet 10'S,Pyrexia,treats prexia
Pacimol DS Suspension 60ml,Pyrexia,treats prexia
Pacimol Jar Tablet 1000'S,Pyrexia,treats prexia
Pactiv Infusion 100ml,Pyrexia,treats prexia
Paracad 650mg Tablet 10'S,Pyrexia,treats prexia
Paracetamol (Torque) Suspension 60mlParacetamol (Torque) 500Mg Tablet 10's,Pyrexia,treats prexia
Paracetamol(Neon) 150mg Injection 5ml,Pyrexia,treats prexia
Paracin 500mg Tablet 10'SParacin 650mg Tablet 10'SParacin 125mg Suspension 60mlParacin 500Mg Tablet 15's,Pyrexia,treats prexia
Paracip 500mg Tablet 15'SParacip 500mg Tablet 10'SParacip Drops 15mlParacip Injection 2mlParacip 650mg Tablet 10'SParacip Infusion 100mlParacip 250mg Suspension 60mlParacip 500mg Caplet 10'S,Pyrexia,treats prexia
Paracold 500mg Tablet 6'S,Pyrexia,treats prexia
Parafast Infusion 100ml,Pyrexia,treats prexia
Parafizz 650mg Tablet 6'SParafizz 650mg Tablet 4'S,Pyrexia,treats prexia
Paraglass 1000mg Injection 100ml,Pyrexia,treats prexia
Parahenz 1gm Infusion 100ml,Pyrexia,treats prexia
Parakind 500mg Tablet 10'S,Pyrexia,treats prexia
Paraldim 120Mg Suspension 60ml,Pyrexia,treats prexia
Paralup Infusion 100ml,Pyrexia,treats prexia
Parawel 125mg Suspension 60mlParawel 650mg Tablet 15'SParawel 325mg Tablet 10'SParawel Drops 15ml,Pyrexia,treats prexia
Parexia 250mg Suspension 60mlParexia 125mg Suspension 60mlParexia 650mg Tablet 15'S,Pyrexia,treats prexia
PCM 250mg Suspension 60mlPCM Injection 2ml,Pyrexia,treats prexia
Parawel Junior Tablet 10'S,Pyrexia,treats prexia
Perfalgan 500mg Injection 50mlPerfalgan 1gm Injection 100ml,Pyrexia,treats prexia
PHARMADOL 500mg Tablet 10's,Pyrexia,treats prexia
Primol 650Mg Tablet 10's,Pyrexia,treats prexia
Prolop Infusion 100ml,Pyrexia,treats prexia
PUC 650mg Tablet 10's,Pyrexia,treats prexia
Pyrakem 500mg Tablet 15'SPyrakem 1gm Injection 1'SPyrakem Drops 15ml,Pyrexia,treats prexia
Pyricool DS Suspension 60ml,Pyrexia,treats prexia
Pyrigesic 650mg Tablet 10'SPyrigesic Suspension 60mlPyrigesic Drops 15mlPyrigesic 1gm Tablet 10'SPyrigesic 500mg Tablet 10'S,Pyrexia,treats prexia
Pyrigesic DS Suspension 60ml,Pyrexia,treats prexia
Pyrimide 50mg Tablet 10'SPyrimide 100mg Tablet 10'S,Pyrexia,treats prexia
Rutek P Tablet 10'S,Pyrexia,treats prexia
Starmol 500mg Tablet 10'S,Pyrexia,treats prexia
Sumo L Infusion 100mlSumo L DS 250mg Syrup 60mlSumo L 125mg Syrup 60mlSumo L 125mg Syrup 30mlSumo L DS 250mg Syrup 30ml,Pyrexia,treats prexia
Sumo L Drops 15ml,Pyrexia,treats prexia
Sumo L ER 650mg Tablet 10'S,Pyrexia,treats prexia
Sumol 650mg Tablet 15'S,Pyrexia,treats prexia
T98 DS Suspension 60mlT98 150mg Drops 15mlT98 500mg Tablet 10'ST98 100mg Drops 15mlT98 Suspension 60ml,Pyrexia,treats prexia
TALMIN 650mg Tablet 10's,Pyrexia,treats prexia
Temfix Iv Injection 100ml,Pyrexia,treats prexia
Thermodol 1gm Infusion 100ml,Pyrexia,treats prexia
Tyfy DT 300mg Tablet 10'S,Pyrexia,treats prexia
Tymol 650mg Tablet 10'S,Pyrexia,treats prexia
Unflem 650mg Tablet 10'S,Pyrexia,treats prexia
Volini Duo Tablet 10'S,Pyrexia,treats prexia
Vyrumol 650mg Tablet 10'S,Pyrexia,treats prexia
Welset Injection 2mlWelset DS Syrup 60mlWelset 650mg Tablet 10'S,Pyrexia,treats prexia
XT Para Life Injection 100ml,Pyrexia,treats prexia
Xtpara 650mg Tablet 10'SXtpara Proglet Tablet 12'SXtpara Drops 15ml,Pyrexia,treats prexia
Xykaa BD 1000mg Tablet 10'S,Pyrexia,treats prexia
Xykaa Extend Tablet 10'S,Pyrexia,treats prexia
Xykaa Rapid 650mg Tablet 10'SXykaa Rapid 500mg Tablet 10'S,Pyrexia,treats prexia
Xykaa TD Tablet 10'S,Pyrexia,treats prexia
XYPAR RAPID 500mg Tablet 10's,Pyrexia,treats prexia
ZUBY 250mg Syrup 60ml,Pyrexia,treats prexia
Aioscab Lotion 50ml,Scabies,Â used to moderate eczema
Ascabiol Emulsion 100ml,Scabies,Â used to heal insect bite reactions
Crotorax Cream 20gmCrotorax 10% Lotion 60ml,Scabies,"treatsÂ conditions caused by bleaches, soaps, detergents and jewellery"
Crotorax HC Cream 10gm,Scabies,Â used on the skin to treat rosacea (pimples and spots)
Dermiscab Lotion 100ml,Scabies,used to treat infestations of scabies and lice on the body
Emscab Lotion 100ml,Scabies,Â used to moderate eczema
Eskino Liquid 100ml,Scabies,Â used to heal insect bite reactions
G Scab Lotion 100ml,Scabies,"treatsÂ conditions caused by bleaches, soaps, detergents and jewellery"
Gamascab Lotion 100ml,Scabies,Â used on the skin to treat rosacea (pimples and spots)
Gbhc Lotion 100ml,Scabies,used to treat infestations of scabies and lice on the body
Hhmite Cream 30gmHhmite Soap 75gm,Scabies,Â used to moderate eczema
Ivrea Shampoo 30mlIvrea 1 Cream 30gm,Scabies,Â used to heal insect bite reactions
Kenz Anti Lice Solution 50ml,Scabies,"treatsÂ conditions caused by bleaches, soaps, detergents and jewellery"
Klmite Cream 60gm,Scabies,Â used on the skin to treat rosacea (pimples and spots)
Lupiscab Solution 100mlLupiscab Lotion 50ml,Scabies,used to treat infestations of scabies and lice on the body
NIT N Mite 1% Lotion 100mlNIT N Mite 1% Cream 25gm,Scabies,Â used to moderate eczema
Nixiper Cream 30gmNixiper Lotion 100ml,Scabies,Â used to heal insect bite reactions
NT Scab Lotion 50mlNT Scab Lotion 100ml,Scabies,"treatsÂ conditions caused by bleaches, soaps, detergents and jewellery"
P Scab Soap 75gmP Scab Lotion 60mlP Scab Lotion 40mlP Scab Lotion 100ml,Scabies,Â used to moderate eczema
Paraminol 10% Ointment 25gm,Scabies,Â used to heal insect bite reactions
Peritop Lotion 60ml,Scabies,"treatsÂ conditions caused by bleaches, soaps, detergents and jewellery"
Perlice Rinse Cream 60gmPerlice Rinse 1% Cream 120gm,Scabies,Â used on the skin to treat rosacea (pimples and spots)
PERMACOAT Cream 30gm,Scabies,used to treat infestations of scabies and lice on the body
Permarid Cream 60gmPermarid Lotion 60mlPermarid Cream 30gm,Scabies,Â used to moderate eczema
Permed Lotion 60mlPermed Soap 75gm,Scabies,Â used to heal insect bite reactions
Permilin Plus Soap 75gm,Scabies,"treatsÂ conditions caused by bleaches, soaps, detergents and jewellery"
Permite Cream 60gm,Scabies,Â used on the skin to treat rosacea (pimples and spots)
Scabelice Lotion 100mlScabelice Lotion 50ml,Scabies,used to treat infestations of scabies and lice on the body
Scabex Lotion 100ml,Scabies,Â used to moderate eczema
Scabimide Lotion 50mlScabimide Lotion 100ml,Scabies,Â used to heal insect bite reactions
Scabimide P Lotion 50ml,Scabies,"treatsÂ conditions caused by bleaches, soaps, detergents and jewellery"
Scaboma Lotion 50mlScaboma Cream 25gmScaboma Lotion 100ml,Scabies,Â used on the skin to treat rosacea (pimples and spots)
Scaboma C Lotion 50mlScaboma C Lotion 100ml,Scabies,used to treat infestations of scabies and lice on the body
Scabozen Lotion 100ml,Scabies,Â used to moderate eczema
Scabper Lotion 60mlScabper Lotion 30mlScabper Soap 75gmScabper Cream 30gm,Scabies,Â used to heal insect bite reactions
Zeroscab Bar 100gmZeroscab Bar 75gmZeroscab Lotion 100ml,Scabies,"treatsÂ conditions caused by bleaches, soaps, detergents and jewellery"
Aculanz MD 5mg Tablet 10'SAculanz MD 2.5mg Tablet 10'S,Schizophrenia,"depression and major depressive episodes in major depressive disorder: You may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep"
Adequet 25mg Tablet 10'SAdequet 100mg Tablet 10'S,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness"
Adequet SR 300mg Tablet 10'SAdequet SR 200mg Tablet 10'S,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness"
Alkepin 10mg Tablet 10'SAlkepin 5mg Tablet 10'S,Schizophrenia,"Â treats disease with symptoms such as hearing, seeing or sensing things which are not there, mistaken beliefs, unusual suspiciousness, and becoming withdrawn. People with this disease may also feel depressed, anxious or tense"
Amisyt 50mg Tablet 10'SAmisyt 200mg Tablet 10'SAmisyt 25mg Tablet 10'SAmisyt 100mg Tablet 10'S,Schizophrenia,"depression and major depressive episodes in major depressive disorder: You may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep"
Andep 1/10mg Tablet 10'S,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness"
Apiz 10mg Tablet 10'SApiz 30mg Tablet 10'SApiz 20mg Tablet 10'S,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness"
Apiz MD 5mg Tablet 10'S,Schizophrenia,"Â treats disease with symptoms such as hearing, seeing or sensing things which are not there, mistaken beliefs, unusual suspiciousness, and becoming withdrawn. People with this disease may also feel depressed, anxious or tense"
APZ 10mg Tablet 10'S,Schizophrenia,"depression and major depressive episodes in major depressive disorder: You may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep"
Aquiti 25mg Tablet 10'SAquiti 50mg Tablet 10'S,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness"
Aquiti SR 200mg Tablet 10'SAquiti SR 100mg Tablet 10'S,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness"
Ariday 15mg Tablet 10'SAriday 5mg Tablet 10'SAriday 10mg Tablet 10'SAriday 2.5mg Tablet 10'S,Schizophrenia,"Â treats disease with symptoms such as hearing, seeing or sensing things which are not there, mistaken beliefs, unusual suspiciousness, and becoming withdrawn. People with this disease may also feel depressed, anxious or tense"
Aridus 30mg Tablet 10'SAridus 20mg Tablet 10'S,Schizophrenia,"depression and major depressive episodes in major depressive disorder: You may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep"
Arifine 10mg Tablet 10'SArifine 5mg Tablet 10'SArifine 30mg Tablet 10'SArifine 20mg Tablet 10'SArifine 15mg Tablet 10'SArifine 2.5mg Tablet 10'SArifine 7.5mg Tablet 10'S,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness"
Arifril 10mg Tablet 10'SArifril 15mg Tablet 10'S,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness"
Arip 5mg Tablet 10'S,Schizophrenia,"Â treats disease with symptoms such as hearing, seeing or sensing things which are not there, mistaken beliefs, unusual suspiciousness, and becoming withdrawn. People with this disease may also feel depressed, anxious or tense"
Arip MT 15mg Tablet 10'SArip MT 30mg Tablet 10'SArip MT 5mg Tablet 10'SArip MT 20mg Tablet 10'S,Schizophrenia,"depression and major depressive episodes in major depressive disorder: You may find that you feel depressed, feel guilty, lack energy, lose your appetite or canâ€™t sleep"
Ariphrenz 30mg Tablet 10'SAriphrenz 10mg Tablet 10'SAriphrenz 20mg Tablet 10'SAriphrenz 5mg Tablet 10'SAriphrenz 15mg Tablet 10'S,Schizophrenia,"used to treat schizophrenia characterised by hallucinations, suspiciousness, mistaken beliefs, incoherent speech or behaviour and emotional flatness"
